service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
I2UISU,0,0,0,0,0,0,0,20181223,20190511
7W / 5E SHOW MTTF,0,0,0,0,0,0,0,20181223,20190511
I4 UIMF,0,0,0,0,0,0,0,20181223,20190511
Y4 MF,0,0,0,0,0,0,0,20181223,20190511
Y1SU,0,0,0,0,0,0,0,20181223,20190511
I2 UIF,0,0,0,0,0,0,0,20181223,20190511
BRONZE SCHWED BACKUP,0,0,0,0,0,0,0,20181223,20190511
G5 MF,0,0,0,0,0,0,0,20181223,20190511
Y3SA,0,0,0,0,0,0,0,20181223,20190511
GR1 SCHMF,0,0,0,0,0,0,0,20181223,20190511
R4 MF,0,0,0,0,0,0,0,20181223,20190511
Y2NONUISA,0,0,0,0,0,0,0,20181223,20190511
I6 UIF,0,0,0,0,0,0,0,20181223,20190511
GNX1 SCHMF,0,0,0,0,0,0,0,20181223,20190511
Y6 SCH,0,0,0,0,0,0,0,20181223,20190511
3N / 7E SHOW,0,0,0,0,0,0,0,20181223,20190511
GR1 SU,0,0,0,0,0,0,0,20181223,20190511
I2 UIMTH,0,0,0,0,0,0,0,20181223,20190511
I7UISA,0,0,0,0,0,0,0,20181223,20190511
R1SA,0,0,0,0,0,0,0,20181223,20190511
5W SHOW #3,0,0,0,0,0,0,0,20181223,20190511
I8/4S UI SCHWED,0,0,0,0,0,0,0,20181223,20190511
5E / 8BZ WED,0,0,0,0,0,0,0,20181223,20190511
I5UISU,0,0,0,0,0,0,0,20181223,20190511
T1 UIMTH,0,0,0,0,0,0,0,20181223,20190511
GN7 MF,0,0,0,0,0,0,0,20181223,20190511
R3 MF EVE,0,0,0,0,0,0,0,20181223,20190511
5E SHOW,0,0,0,0,0,0,0,20181223,20190511
GR2SA,0,0,0,0,0,0,0,20181223,20190511
LM2 MF,0,0,0,0,0,0,0,20181223,20190511
Y1UIMF,0,0,0,0,0,0,0,20181223,20190511
T1 NONUIMF,0,0,0,0,0,0,0,20181223,20190511
GN2 SU,0,0,0,0,0,0,0,20181223,20190511
5W #2 SHOW SCH,0,0,0,0,0,0,0,20181223,20190511
1N#2 SHOW SCHMF,0,0,0,0,0,0,0,20181223,20190511
GR2 SU,0,0,0,0,0,0,0,20181223,20190511
Y4SU,0,0,0,0,0,0,0,20181223,20190511
1N SHOW,0,0,0,0,0,0,0,20181223,20190511
LM1SA,0,0,0,0,0,0,0,20181223,20190511
Y2UISU,0,0,0,0,0,0,0,20181223,20190511
Y7 UIF,0,0,0,0,0,0,0,20181223,20190511
7W SHOW SCH WED,0,0,0,0,0,0,0,20181223,20190511
GR3 SA,0,0,0,0,0,0,0,20181223,20190511
L2 SCHMF,0,0,0,0,0,0,0,20181223,20190511
GN8 BACKUP,0,0,0,0,0,0,0,20181223,20190511
7E SHOW WED,0,0,0,0,0,0,0,20181223,20190511
16B#1 SHOW SCHMF,0,0,0,0,0,0,0,20181223,20190511
Y6 NOSCHMF,0,0,0,0,0,0,0,20181223,20190511
Y3 NONUIMF,0,0,0,0,0,0,0,20181223,20190511
I3UISU,0,0,0,0,0,0,0,20181223,20190511
Y7 UIMTH,0,0,0,0,0,0,0,20181223,20190511
1S-8E SHOW,0,0,0,0,0,0,0,20181223,20190511
1N SHOW WED,0,0,0,0,0,0,0,20181223,20190511
7E/5E SHOW SCH,0,0,0,0,0,0,0,20181223,20190511
6E/7E SHOW SCHWED,0,0,0,0,0,0,0,20181223,20190511
GN6 SCHMF,0,0,0,0,0,0,0,20181223,20190511
GN8 SCHMTTF,0,0,0,0,0,0,0,20181223,20190511
SV1 NONUISU,0,0,0,0,0,0,0,20181223,20190511
GN8 SCHWED,0,0,0,0,0,0,0,20181223,20190511
BA2 MF,0,0,0,0,0,0,0,20181223,20190511
GNX1 NOSCHMF,0,0,0,0,0,0,0,20181223,20190511
Y5UISU,0,0,0,0,0,0,0,20181223,20190511
Y5NONUISA,0,0,0,0,0,0,0,20181223,20190511
I6-4 UIF,0,0,0,0,0,0,0,20181223,20190511
SV2 NONUIMF EVE,0,0,0,0,0,0,0,20181223,20190511
G3 MF,0,0,0,0,0,0,0,20181223,20190511
GN5SA,0,0,0,0,0,0,0,20181223,20190511
3N SHOW#1,0,0,0,0,0,0,0,20181223,20190511
I6UISA,0,0,0,0,0,0,0,20181223,20190511
GR3 UIMF,0,0,0,0,0,0,0,20181223,20190511
GN3 NOSCH,0,0,0,0,0,0,0,20181223,20190511
BZ1 NOSCHMF,0,0,0,0,0,0,0,20181223,20190511
T3 NONUIMF EVE,0,0,0,0,0,0,0,20181223,20190511
CENTRAL EXP,0,0,0,0,0,0,0,20181223,20190511
Y1 NONUIMF EVE,0,0,0,0,0,0,0,20181223,20190511
Y5 MF EVE,0,0,0,0,0,0,0,20181223,20190511
I2-2 UIF,0,0,0,0,0,0,0,20181223,20190511
RUB2 SCHWED,0,0,0,0,0,0,0,20181223,20190511
I7UISU,0,0,0,0,0,0,0,20181223,20190511
O1 MF,0,0,0,0,0,0,0,20181223,20190511
SRE1,0,0,0,0,0,0,0,20181223,20190511
T1 UIF,0,0,0,0,0,0,0,20181223,20190511
RUB2 SCHMTTF,0,0,0,0,0,0,0,20181223,20190511
I7 UIMTH,0,0,0,0,0,0,0,20181223,20190511
L2SU,0,0,0,0,0,0,0,20181223,20190511
GN3 SCHMF,0,0,0,0,0,0,0,20181223,20190511
I8/4S NOSCH NOUI,0,0,0,0,0,0,0,20181223,20190511
5W-7W SHOW WED,0,0,0,0,0,0,0,20181223,20190511
T1NONUISU,0,0,0,0,0,0,0,20181223,20190511
Y8 MF EVE,0,0,0,0,0,0,0,20181223,20190511
SV2UISA,0,0,0,0,0,0,0,20181223,20190511
GN3 SU,0,0,0,0,0,0,0,20181223,20190511
Y5UISA,0,0,0,0,0,0,0,20181223,20190511
RUB2 NOSCH EVE,0,0,0,0,0,0,0,20181223,20190511
GN6 NOSCH,0,0,0,0,0,0,0,20181223,20190511
I8 UIMTH,0,0,0,0,0,0,0,20181223,20190511
T1UISA,0,0,0,0,0,0,0,20181223,20190511
GN1 SU,0,0,0,0,0,0,0,20181223,20190511
T2 UIMF,0,0,0,0,0,0,0,20181223,20190511
GREY MF SHOW,0,0,0,0,0,0,0,20181223,20190511
BZ2 SCHWED,0,0,0,0,0,0,0,20181223,20190511
16A#3 SHOW SCHMTTF,0,0,0,0,0,0,0,20181223,20190511
GNX1 SHOW WED,0,0,0,0,0,0,0,20181223,20190511
T2UISU,0,0,0,0,0,0,0,20181223,20190511
SV1 UIMTH,0,0,0,0,0,0,0,20181223,20190511
G2 MF,0,0,0,0,0,0,0,20181223,20190511
RUB1 SU,0,0,0,0,0,0,0,20181223,20190511
SV1UISU,0,0,0,0,0,0,0,20181223,20190511
SV4 NONUIMF SCH,0,0,0,0,0,0,0,20181223,20190511
GN3UISA,0,0,0,0,0,0,0,20181223,20190511
B3 NOSCHMF,0,0,0,0,0,0,0,20181223,20190511
R2 MF,0,0,0,0,0,0,0,20181223,20190511
7W SHOW MTTF SCH,0,0,0,0,0,0,0,20181223,20190511
GN5 MF,0,0,0,0,0,0,0,20181223,20190511
P2 SCHMF,0,0,0,0,0,0,0,20181223,20190511
B3 SCHMF,0,0,0,0,0,0,0,20181223,20190511
T3 UIMF,0,0,0,0,0,0,0,20181223,20190511
R3 MF,0,0,0,0,0,0,0,20181223,20190511
GR5SA,0,0,0,0,0,0,0,20181223,20190511
GR1 NOSCHMF,0,0,0,0,0,0,0,20181223,20190511
7E SHOW#1 WED,0,0,0,0,0,0,0,20181223,20190511
SV4 UIMTH NOSCH,0,0,0,0,0,0,0,20181223,20190511
GN5 MF EVE,0,0,0,0,0,0,0,20181223,20190511
5W #1 SHOW SCH,0,0,0,0,0,0,0,20181223,20190511
O2 MF,0,0,0,0,0,0,0,20181223,20190511
LM2SU,0,0,0,0,0,0,0,20181223,20190511
GN8 NOSCH,0,0,0,0,0,0,0,20181223,20190511
7W/7E/5E SHOW,0,0,0,0,0,0,0,20181223,20190511
9A/5E SHOW SCH MTTF,0,0,0,0,0,0,0,20181223,20190511
BB1 MF,0,0,0,0,0,0,0,20181223,20190511
GR4 MF EVE,0,0,0,0,0,0,0,20181223,20190511
7W SHOW #2 SCH WED,0,0,0,0,0,0,0,20181223,20190511
BZ1 SCHMF,0,0,0,0,0,0,0,20181223,20190511
G1 MF,0,0,0,0,0,0,0,20181223,20190511
GR1 NOSCHMF EVE,0,0,0,0,0,0,0,20181223,20190511
7W SHOW SCH MTTF,0,0,0,0,0,0,0,20181223,20190511
16A#2 SHOW SCHMTTF,0,0,0,0,0,0,0,20181223,20190511
Y6 NOSCHMF EVE,0,0,0,0,0,0,0,20181223,20190511
I1NONUISA,0,0,0,0,0,0,0,20181223,20190511
R3SA,0,0,0,0,0,0,0,20181223,20190511
I2UISA,0,0,0,0,0,0,0,20181223,20190511
GNX5 MF,0,0,0,0,0,0,0,20181223,20190511
P1 MF,0,0,0,0,0,0,0,20181223,20190511
L1SA,0,0,0,0,0,0,0,20181223,20190511
GNX5 MF EVE,0,0,0,0,0,0,0,20181223,20190511
16A#2 SHOW SCHWED,0,0,0,0,0,0,0,20181223,20190511
GNX1 SHOW,0,0,0,0,0,0,0,20181223,20190511
GN4 MF,0,0,0,0,0,0,0,20181223,20190511
I8/4S SCH NONUI,0,0,0,0,0,0,0,20181223,20190511
9A SHOW WED,0,0,0,0,0,0,0,20181223,20190511
Y3SU,0,0,0,0,0,0,0,20181223,20190511
T2UISA,0,0,0,0,0,0,0,20181223,20190511
SV3 UIMF,0,0,0,0,0,0,0,20181223,20190511
L2SA,0,0,0,0,0,0,0,20181223,20190511
GNX3 MF,0,0,0,0,0,0,0,20181223,20190511
I3 UIF,0,0,0,0,0,0,0,20181223,20190511
I6-4 UIMTH,0,0,0,0,0,0,0,20181223,20190511
I1 NONUIMF,0,0,0,0,0,0,0,20181223,20190511
I6 UIMF,0,0,0,0,0,0,0,20181223,20190511
B4 SCH WED,0,0,0,0,0,0,0,20181223,20190511
RUB2 NOSCH,0,0,0,0,0,0,0,20181223,20190511
Y2NONUISU,0,0,0,0,0,0,0,20181223,20190511
Y2UISA,0,0,0,0,0,0,0,20181223,20190511
I4UISU,0,0,0,0,0,0,0,20181223,20190511
SV4 NONUIMF NOSCH,0,0,0,0,0,0,0,20181223,20190511
I3UISA,0,0,0,0,0,0,0,20181223,20190511
BB3 MF,0,0,0,0,0,0,0,20181223,20190511
GR1SA,0,0,0,0,0,0,0,20181223,20190511
O3 MF,0,0,0,0,0,0,0,20181223,20190511
GN4SA,0,0,0,0,0,0,0,20181223,20190511
Y8 MF,0,0,0,0,0,0,0,20181223,20190511
GN1SA,0,0,0,0,0,0,0,20181223,20190511
BZ2 SCHMTTF,0,0,0,0,0,0,0,20181223,20190511
L1 SCHMF,0,0,0,0,0,0,0,20181223,20190511
LM2SA,0,0,0,0,0,0,0,20181223,20190511
5E #2 WED,0,0,0,0,0,0,0,20181223,20190511
I5UISA,0,0,0,0,0,0,0,20181223,20190511
L1SU,0,0,0,0,0,0,0,20181223,20190511
BA2 SCHMF,0,0,0,0,0,0,0,20181223,20190511
T2NONUISA,0,0,0,0,0,0,0,20181223,20190511
B1 MF,0,0,0,0,0,0,0,20181223,20190511
ORANGE / GREEN SCH,0,0,0,0,0,0,0,20181223,20190511
GN3 NOSCH EVE,0,0,0,0,0,0,0,20181223,20190511
RV1 MF,0,0,0,0,0,0,0,20181223,20190511
GNX4 MF,0,0,0,0,0,0,0,20181223,20190511
GN1 MF,0,0,0,0,0,0,0,20181223,20190511
BZ2 NOSCHMF,0,0,0,0,0,0,0,20181223,20190511
GN2NONUISA,0,0,0,0,0,0,0,20181223,20190511
Y5NONUISU,0,0,0,0,0,0,0,20181223,20190511
BA1 MF,0,0,0,0,0,0,0,20181223,20190511
SV2 NONUIMF,0,0,0,0,0,0,0,20181223,20190511
I7 UIF,0,0,0,0,0,0,0,20181223,20190511
SV5 UIMF,0,0,0,0,0,0,0,20181223,20190511
LM1 MF,0,0,0,0,0,0,0,20181223,20190511
O4 MF,0,0,0,0,0,0,0,20181223,20190511
16A#1 SHOW SCHMTTF,0,0,0,0,0,0,0,20181223,20190511
SV1 UIF,0,0,0,0,0,0,0,20181223,20190511
BB2 MF,0,0,0,0,0,0,0,20181223,20190511
B4 NOSCHMF,0,0,0,0,0,0,0,20181223,20190511
Y3UIMF,0,0,0,0,0,0,0,20181223,20190511
GR3 UISU,0,0,0,0,0,0,0,20181223,20190511
CENTRAL EX WED,0,0,0,0,0,0,0,20181223,20190511
I6UISU,0,0,0,0,0,0,0,20181223,20190511
R6 UIMF,0,0,0,0,0,0,0,20181223,20190511
T2NONUISU,0,0,0,0,0,0,0,20181223,20190511
16A#1 SHOW SCHWED,0,0,0,0,0,0,0,20181223,20190511
SV1NONUISA,0,0,0,0,0,0,0,20181223,20190511
R5 MF,0,0,0,0,0,0,0,20181223,20190511
I5 UIF,0,0,0,0,0,0,0,20181223,20190511
5E#3 SHOW WED,0,0,0,0,0,0,0,20181223,20190511
7W / 5E #2 WED,0,0,0,0,0,0,0,20181223,20190511
GN4 SU,0,0,0,0,0,0,0,20181223,20190511
T1 NONUIMF EVE,0,0,0,0,0,0,0,20181223,20190511
GR3 NONUIMF EVE,0,0,0,0,0,0,0,20181223,20190511
GNX2 MF,0,0,0,0,0,0,0,20181223,20190511
6E SCH MTTF,0,0,0,0,0,0,0,20181223,20190511
I1UISU,0,0,0,0,0,0,0,20181223,20190511
R1 MF,0,0,0,0,0,0,0,20181223,20190511
I1NONUISU,0,0,0,0,0,0,0,20181223,20190511
SV4 UIMTH SCH,0,0,0,0,0,0,0,20181223,20190511
I8 UIF,0,0,0,0,0,0,0,20181223,20190511
GR2 MF,0,0,0,0,0,0,0,20181223,20190511
GR3 NONUIMF,0,0,0,0,0,0,0,20181223,20190511
I8/4S UI NOSCH,0,0,0,0,0,0,0,20181223,20190511
SV4 UIF NOSCH,0,0,0,0,0,0,0,20181223,20190511
T4 UIMF,0,0,0,0,0,0,0,20181223,20190511
Y7 NONUIMF,0,0,0,0,0,0,0,20181223,20190511
GN2 MF,0,0,0,0,0,0,0,20181223,20190511
T5 UIMF,0,0,0,0,0,0,0,20181223,20190511
L2 NOSCHMF EVE,0,0,0,0,0,0,0,20181223,20190511
3S SHOW #1 WED,0,0,0,0,0,0,0,20181223,20190511
Y7 NONUIMF EVE,0,0,0,0,0,0,0,20181223,20190511
L2 NOSCHMF,0,0,0,0,0,0,0,20181223,20190511
I4UISA,0,0,0,0,0,0,0,20181223,20190511
Y2 MF,0,0,0,0,0,0,0,20181223,20190511
R2SA,0,0,0,0,0,0,0,20181223,20190511
Y5 MF,0,0,0,0,0,0,0,20181223,20190511
16B#3 SHOW SCHMF,0,0,0,0,0,0,0,20181223,20190511
I8 UIMF,0,0,0,0,0,0,0,20181223,20190511
5E#1 SHOW WED,0,0,0,0,0,0,0,20181223,20190511
Y1SA,0,0,0,0,0,0,0,20181223,20190511
I1-4 UIMTH,0,0,0,0,0,0,0,20181223,20190511
I1 NONUIMF EVE,0,0,0,0,0,0,0,20181223,20190511
LM1SU,0,0,0,0,0,0,0,20181223,20190511
I4-3 UIF,0,0,0,0,0,0,0,20181223,20190511
G6 MF,0,0,0,0,0,0,0,20181223,20190511
B2 MF,0,0,0,0,0,0,0,20181223,20190511
RUB1 MF,0,0,0,0,0,0,0,20181223,20190511
P2 NOSCHMF,0,0,0,0,0,0,0,20181223,20190511
GN3NONUISA,0,0,0,0,0,0,0,20181223,20190511
I1-4 UIF,0,0,0,0,0,0,0,20181223,20190511
SV2 UIMF,0,0,0,0,0,0,0,20181223,20190511
I5 UI FRI,0,0,0,0,0,0,0,20181223,20190511
GN2UISA,0,0,0,0,0,0,0,20181223,20190511
GR4 MF,0,0,0,0,0,0,0,20181223,20190511
SV4 SCH WED,0,0,0,0,0,0,0,20181223,20190511
T1UISU,0,0,0,0,0,0,0,20181223,20190511
16A#3 SHOW SCHWED,0,0,0,0,0,0,0,20181223,20190511
Y1 NONUIMF,0,0,0,0,0,0,0,20181223,20190511
BZ1 NOSCHMF EVE,0,0,0,0,0,0,0,20181223,20190511
16B#2 SHOW SCHMF,0,0,0,0,0,0,0,20181223,20190511
BB4 SCHMF,0,0,0,0,0,0,0,20181223,20190511
I1UISA,0,0,0,0,0,0,0,20181223,20190511
3S / 5W SHOW SCH,0,0,0,0,0,0,0,20181223,20190511
7W SHOW #1 SCH WED,0,0,0,0,0,0,0,20181223,20190511
G4 MF,0,0,0,0,0,0,0,20181223,20190511
Y4SA,0,0,0,0,0,0,0,20181223,20190511
RUB1 SA,0,0,0,0,0,0,0,20181223,20190511
Y3 NONUIMF EVE,0,0,0,0,0,0,0,20181223,20190511
SV1UISA,0,0,0,0,0,0,0,20181223,20190511
